28,333,Некоммерческое партнёрство содействия организации   Фестиваля национальных видов спорта и народного творчества «Кавказские Игры»,г. Москва             ЦФО,Фестиваль национальных видов спорта и              народного творчества «Кавказские Игры»,"1 500 000,00",Южный федеральный округ
29,341,"Некоммерческий фонд поддержки книгоиздания, образования и   новых информационных технологий «Пушкинская библиотека»",г. Москва             ЦФО,Антикризисныйбиблиотечный инкубатор креативности «Лидеры местного сообщества»,900 000,Российская Федерация
30,368,Автономная некоммерческая организация              «Центр технологий гражданского мониторинга»,г. Екатеринбург             УФО,«Время культуры»,600 000,"Республика Кабардино-Балкария, Краснодарский край,   Свердловская область, Московская область, Тюменская область, Новосибирская   область, Вологодская область, Калужская область, Ульяновская область,   Архангельская область"
31,412,Общественный благотворительный Фонд “Дерсу Узала» имени   Максима Мунзука по Республике Тыва,г. Кызыл             Республика Тыва             СФО,Информационная передвижная фотовыставка «История театра – твоя история» - 2 часть»,"174 725,00",Республика Тыва
32,442,Свердловское региональное общественное учреждение «Институт   региональной политики»,г. Екатеринбург             Свердловская область             УФО,Общественно-политический журнал «Уральский федеральный   округ»,"1 000 000,00","Свердловская, Челябинская, Тюменская, Курганская области,   Ханты-Мансийский, Ямало-Ненецкий АО"
33,447,Городская общественная организация «В будущее вместе»,"г. Новосибирск,             Новосибирская область СФО","Создание системы социальных модераторов для оказания   помощи людям, находящимся в трудной жизненной ситуации","150 000,00",г. Новосибирск
34,452,Республиканское общественное движение «Марийский   национальный конгресс»,г. Йошкар-Ола             Республика Марий Эл             ПФО,II Межрегиональный форум              «Финно-угорский этнокультурный проект:              расширение границ»,"944 215,00",Республика Марий Эл
35,456,"Ленинская районная организация Кировской областной   организации Всероссийской общественной организации ветеранов (пенсионеров)   войны, труда, вооруженных сил и правоохранительных органов",г. Киров              Кировская область             ПФО,«Институт пожилых людей»,"158 920,00",Ленинский район г. Кирова
36,479,Региональная общественная организация «Тульское морское   собрание»,г. Тула             Тульская область             ЦФО,«История. Флот. Патриотизм».,"82 500,00",г. Тула и Тульская область
37,506,Псковская областная общественная благотворительная   организация «Счастливое детство»,деревня Захарино             Псковская область             СЗФО,«Подготовка молодежи сельской местности Псковской области   к самореализации в условиях экономического кризиса»,"500 000,00",Псковская область
38,508,Некоммерческое партнерство «Союз развития наукоградов   России»,г. Москва             ЦФО,Социальныйкультурно- образовательный проект «Молодежные   образовательно-исследовательские экспедиции в наукограды Подмосковья»,"1 200 000,00","Московская область, г. Москва"
39,510,Некоммерческое партнерство «Альянс руководителей   региональных СМИ России»,г.Москва             ЦФО,Программа повышения деловой квалификации руководителей   региональной прессы в условиях финансового кризиса,"1 000 000,00",Российская Федерация
40,513,Региональная общественная организация Центр Содействия   Реформе Уголовного Правосудия,г.Москва             ЦФО,«Обратная связь»,"650 000,00","Москва, Московская область"
41,545,Ростовская Ассоциация товариществ собственников жилья   (РАТСЖ),г. Ростов-на-Дону             Ростовская область             ЮФО,«Интер-дом: дистанционные курсы управления многоквартирным   домом»,"500 000,00",Российская Федерация
42,556,Общероссийское общественное движение «Католическое   наследие»,г. Москва             ЦФО,Проведение культурологических исследований силами молодых   ученых,"5 000 000,00",Российская Федерация
43,562,Некоммерческая организация «Фонд поддержки развития   международного сотрудничества»,г.Москва             ЦФО,Проект молодежной общественной дипломатии «Европа глазами   молодежи»,"1 500 000,00","Российская Федерация, страны Европы"
44,583,Северо-Осетинская общественная организация «Федерация   детского и юношеского туризма «Сокол»,г. Владикавказ             Республика Северная Осетия -Алания             ЮФО,Студенты – детям. Толерантность через культуру,"289 820,00","Алагирский, Ардонский,              Дигорский,              Ирафский, Кировский,             Моздокский, Правобережный,              Пригородный районы Республики Северная Осетия -Алания, Иристонский,   Северо-Западный,Промышленный,   Затеречный муниципальные районы города Владикавказ"
