100,"Читинская 			региональная общественная организация бурят, проживающих вне автономных 			образований (ЧРООБ)",Читинская 			область,Моё тоонто - в 			Забайкалье,"598 000,00"
104,"Некоммерческий 			фонд ""Фонд развития Сергиева Посада""",Московская 			область,Создание 			культурно-информационного просветительского центра,"300 000,00"
105,"Волгоградская 			областная детская общественная организация яхт-клуб ""ПАРУС"" имени 			В.С. Высоцкого",Волгоградская 			область,Всероссийский 			фестиваль авторской песни памяти В.С. Высоцкого на Волге,"800 000,00"
111,"Каменск-Уральская 			городская организация Общественной организация Общество ""Знание"" 			Росии",Свердловская 			область,"""Деятельные 			пенсионеры Урала""","290 000,00"
112,"Некоммерческая 			организация - Фонд ""КГД""- социальный партнер ""КАО""",Камчатский край,"""Открытый 			мир, одаренных детей Корякии""","500 000,00"
116,"Общественная 			организация ""Педагогическое общество"" г. Арзамаса Нижегородской 			области",Нижегородская 			область,"""Команда 			профессионалов: защитим детей от  			беды!""","500 000,00"
121,"Еврейское 			областное региональное отделение общероссийской общественной организации 			""Муниципальная Академия""",Еврейская АО,"""Жилищный 			урок""","550 000,00"
122,"Автономная 			некоммерческая общественная организация Творческий клуб ""ВЗЛЁТ""",Ростовская 			область,"Литературный 			творческий клуб ""Взлёт""","300 000,00"
126,"Майкопская 			городская общественная организация ""Семь-Я""",Республика 			Адыгея,"""Шаг к 			прозрению""","500 000,00"
127,"Коми 			Республиканская общественная организация ""Федерация Туризма Республики 			Коми""",Республика Коми,"""Таежное 			кольцо"" (образовательный проект для села в сфере туризма)","500 000,00"
129,"Хабаровская 			региональная общественная организация гражданских инициатив 			""Будильник""",Хабаровский край,"""Создание 			памятного знака ""Памяти жертв политических репрессий"" в посёлке 			Хор""","80 000,00"
135,"Некоммерческая 			ассоциация ""Поволжский центр культур финно-угорских народов""",Республика 			Мордовия,"Проект 			""Развитие культуры и функционирование языков в регионах России с 			компактным проживанием мордовского (мокшанского и эрзянского) народа - 			Диаспора""","500 000,00"
137,"Волгоградское 			региональное отделение общероссийского общественного благотворительного фонда 			""Российский детский Фонд"".",Волгоградская 			область,"""Вечный 			огонь Сталинграда - в душе моей!"", посвященный 65-летию Победы в 			Сталинградской битве","500 000,00"
142,"Дагестанское 			отделение Международной Общественной организации ""Лига защиты 			культуры""",Республика 			Дагестан,"Культурно-информационный 			цент ""Созвучие""","300 000,00"
144,"Благотворительный 			фонд ""ЭСКО""",г. Москва,"""Летопись 			улиц моего города - историко-культурное наследие для детей и юношества""","2 500 000,00"
146,"Некоммерческое 			партнерство ""СМИ против терроризма и экстремизма""",г. Москва,"""Экспертные 			сообщества и российско-американский диалог""","800 000,00"
158,"Автономная 			некоммерческая организация ""Акме"" (Центр нравственного воспитания 			детей и молодёжи г. Казани)",Республика 			Татарстан,"Программа 			гражданско-нравственного воспитания детей, подростков и молодёжи 			""Золотая стезя""","400 000,00"
160,Межрегиональная 			общественная организация Научно-просветительный центр,г. Москва,Уроки Холокоста 			- путь к толерантности,"1 000 000,00"
163,"Кемеровское 			областное отделение ""Союз писателей Кузбасса"" Общероссийской 			общественной организации ""Союз писателей России"".",Кемеровская 			область,"""Поэзия U 			просвещение"".","500 000,00"
172,"Межрегиональная 			общественная организация ""Ассоциация по связям с соотечественниками за 			рубежом ""Родина""",г. Москва,Моя родина - 			Россия,"800 000,00"
173,"Региональная 			общественная организация Союз ""Женщины Дона""",Ростовская 			область,Вместе планируем 			перемены ч.2,"700 000,00"
176,"Ассоциация 			""Народные художественные промыслы России"", некоммерческая 			организация г.Москва",г. Москва,Поддержка 			творчества молодых мастеров народных художественных промыслов России как 			основополагающий фактор сохранения национального достояния России и средство 			укрепления связей между народами посредством общественной дипломатии,"3 000 000,00"
184,"Воронежская 			региональная общественная организация инвалидов ""Домашняя академия""",Воронежская 			область,"""Народный 			Университет""","145 000,00"
185,"Автономная  некоммерческая организация Средняя 			общеобразовательная частная школа ""Наследник""",Московская 			область,"Образовательный 			Проект ""Формирование финансовой грамотности и воспитание финансовой 			культуры школьников""","2 500 000,00"
