Реестр	Уч.№	Наименование	ОГРН	Дата ОГРН	Адрес	Форма	Регион	Статус				
Общественные объединения	77120113199	Общественное объединение - Студия - Творческое объединение (Российского фонда культуры), искл. из реестра расп.№930-ор от 03.10.01	 искл. из реестра расп.№222-р от 14.02.05			ул.Рылеева, д.23, стр.3	Общественная организация	Москва	Исключена			
Общественные объединения	77120113545	Общественное объединение онкологов и рентген-радиологов Онкологического научного центра им.Блохина Российской академии медицинских наук, искл. из реестра расп.№ 79-р от 30.01.03	 расп.№ 2304-р от 05.12.03			115478,Каширское ш.,д.24	Общественная организация	Москва	Исключена			
Религиозные организации	7711010774	"Православное братство "" Вера "", искл. из реестра расп.№ 95-орр от 29.12.01"			Новокосинская, 7-пост	  Салтыковская 21-116-врем.	Религиозная организация	Москва	Исключена			
Общественные объединения	7712018202	"Региональная общественная организация социальной помощи инвалидам ""Гарант"""	1027739762930		121352 г.Москва, ул.Славянский б-р, д.7, корп.2	" 607630, Нижегородская обл., Богородский р-н, пос. Кудьма, Кудьминская промзона, база ""Попутчик"""	Общественная организация	Москва	Исключена			
Некоммерческие организации	7714090379	"Товарищество собственников жилья ""Большая Ордынка 16"""	1037706038424	27.07.2007	Москва,  ул.Ордынка Большая , д.16, корп.1	6,	Товарищество собственников жилья	Москва	Исключена			
Некоммерческие организации	7714090064	"Товарищество собственников жилья ""На Обыденском"""	1027700328480	17.10.2002	119034, г. Москва, пер. Обыденский 1-й, д. 8	10	Товарищество собственников жилья	Москва	Исключена			
Некоммерческие организации	7714090584	"Товарищество собственников жилья ""ул. Чистопольская, д.1, корп.1,2"	 д.3, корп. 1,2	 д.5, корп. 1,2	" д.7"""	1077799030198	29.11.2007	109202, г. Москва, ул. Чистопольская, д.1, корп.2	Товарищество собственников жилья	Москва	Исключена	
Некоммерческие организации	7714090560	"Товарищество собственников жилья""Капотня,4-й квартал, дом 1"	"4"""	1077799028625	14.11.2007	109429 г.Москва ул.Квартал Капотни 4-й	Товарищество собственников жилья	Москва	Исключена			
Общественные объединения	77120112560	Христианско-демократический союз, искл. из реестра расп.№ 1876-р от 17.11.03	 расп.№ 291-р от 05.12.03			125047, Тверская ул., 37а, кв.4	Общественная организация	Москва	Исключена			
Религиозные организации	5111010097	Местная религиозная организация православный Приход храма Введения во храм Пресвятой Богородицы города Мурманска Мурманской и Мончегорской Епархии Русской Православной Церкви (Московский Патриархат)	1035100175648	16.05.2003	г.Мурманск, Северный проезд, д.5	 храм - ул. Бабикова, д.3а (теорр. в/ч)	Религиозная организация	Мурманская область	Зарегистрирована			
Общественные объединения	5212111459	Первичная профсоюзная организация Профессионального союза работников Российской Академии наук в институте металлоорганической химии имени Г.А.Разуваева	1025200023595		г.Н.Новгород, ул.Тропинина, д.49  тел. (8312) 66-27-09	 66-46-52  тел./факс (8312) 66-14-97	Профессиональный союз	Нижегородская область	Исключена			
Общественные объединения	5212111496	"Профессиональный союз ""Коралл"""	1095200003535		г.Н.Новгород, пр.Гагарина, д.25-в  тел.65-00-46	 65-60-48	Профессиональный союз	Нижегородская область	Исключена			
Общественные объединения	5212110139	"Первичная профсоюзная организация Нижегородской областной организации Общественной организации - Общероссийский профессиональный союз рабочих местной промышленности и коммунально-бытовых предприятий (профсоюз жизнеобеспечения) на МУП ""ЖЭУ №1"""			Ниж.обл., г.Арзамас, Соборная площадь, 12  тел.(8-247) 4-05-30	 4-04-30	  тел.(8-247) 4-01-78	Профессиональный союз	Нижегородская область	Исключена		
Общественные объединения	5212010783	"Нижегородская областная общественная организация ""Собрание офицеров ""Дружина"""			г.Н.Новгород, пр.Гагарина, д. 60	г.Н.Новгород, Окский съезд, д.2, оф.720  тел.75-91-99	 75-91-90	Общественная организация	Нижегородская область	Исключена		
Общественные объединения	5212010371	"Региональная общественная организация ""Нижегородский областной клуб экслибристов"""	1025200018084		г.Н.Новгород, ул.Интернациональная,1, офис.2  тел.44-41-17 (с 10 до 16 час.)  тел./факс 39-58-29 (после 16 часов)	  (круглосуточно) 65-75-80	Почтовый адрес: 603098, г.Н.Новгород-98, а/я  243	Общественная организация	Нижегородская область	Исключена		
Общественные объединения	5212010519	"Нижегородское общество ингерманландских  финнов ""ИНКЕРИН ЛИИТТО"""			г.Н.Новгород, ул.Почаинская, д.29  тел.33-02-75	603104,Н.Новгород, ул.Медицинская,9(в воскресные дни)  Председатель: Хукка Владимир Семенович   т. 64-12-51  Д.Т. 65-12-36	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010415	"Нижегородская областная федерация русской борьбы ""Слада"""	1105200003644		606430,Ниж.обл., Городец, пл.Ватутина,1	 606230,Ниж.обл., г.Лысково, ул.Чернышевского,8	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010772	"Краснооктябрьская районная общественная организация Нижегородской области ""Земское движение"""				Нижегородская обл., Краснооктябрьский район, д.Пошатово, ул.Коммунистическая, д. 45	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010734	"Нижегородская областная общественная организация ""Федерация автомобильного спорта"""	1075200000248			г.Н.Новгород, Московское шоссе, д. 34	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212012072	"Региональная общественная организация ""Нижегородский православный союз"""	1045206339353		г.Нижний Новгород, ул.Гордеевская, д.1	г.Нижний Новгород,   ул. Ген. Земина, 18-20	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212011497	"Нижегородское региональное отделение Общероссийской политической общественной организации ""Союз правых сил"""			г.Н.Новгород, ул.Рождественская, д.24  тел.34-36-86	 34-36-37	  тел./факс 34-36-78	Общественная организация	Нижегородская область	Исключена		
Общественные объединения	5212011706	"Нижегородская городская общественная организация ""Флорбольный клуб ""Титан"""			г.Н.Новгород, ул.К. Маркса, д.17 А    тел.47-34-11	 47-34-13	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010742	"Нижегородская городская общественная организация ""Футбол"""	1075200009653			"г.Н.Новгород, Ленинский район, пос.Дачный, стадион ""Этна"""	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010813	"Нижегородская областная общественная кинологическая организация ""Объединение клубов пород"""			г.Н.Новгород, ул.Крылова, д.6-а, кв.30  тел.65-57-98	г. Нижний Новгород, ул. Красносельская, 26.  39-79-47, 18-12-23, 78-36-50	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010178	Нижегородское отделение лиги содействия оборонным предприятиям			г.Н.Новгород, пр.Гагарина, д.176  тел.66-55-62	 65-16-24	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010385	"Общественно-политическая организация ""Движение за социальную  справедливость"""	1035204612629		Ниж.обл., г.Кулебаки, ул.Воровского, 80-23	607010,Ниж.обл.,          место нахождения: г.Кулебаки-5              607010,Ниж.обл., а/я-8                     г.Кулебаки,  ул.60-лет ВЛКСМ,  2-49 т.5-28-25	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212011128	"Нижегородское региональное отделение Общероссийской общественной политической организации ""Партия пенсионеров"""	1075200009851		г.Н.Новгород, ул.Почаинская, д.22	603000, г.Н.Новгород, ул.Куйбышева, д.13  тел.68-35-27	 35-03-50	Общественная организация	Нижегородская область	Исключена		
Общественные объединения	5212111456	"Первичная профсоюзная организация Нижегородской областной организации Общественной организации - Профессиональный союз работников строительства материалов Российской Федерации (Профсоюз строителей России) в ЗАО ""Домостроительный комбинат №1"""	1025200024112		г.Н.Новгород, пр.Ленина, д.11  тел.(8312) 42-32-32	 42-38-38  тел./факс 42-38-71	Профессиональный союз	Нижегородская область	Исключена			
Общественные объединения	5212010723	"Общественная организация ""Клуб любителей бега ""Нефтехимик""г.Кстово Нижегородской области  Принято решение о предстоящем исключении из ЕГРЮЛ УФНС 02.11.2007 г."				Нижегородская обл., г.Кстово, ул.Зеленая	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010220	"Нижегородская региональная организация Общественно-политической организации ""Либерально-демократическая партия России"""			г.Н.Новгород, ул.Циолковского, д.32, кв.6	603005, г.Н.Новгород,пр.Ильича, д.32-а, кв.3  тел.56-69-25	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212110713	"Первичная профсоюзная организация Нижегородской областной организации Общественной организации - Российский профессиональный союз работников текстильной и легкой промышленности (Роспрофтекстильлегпром) в ЗАО ""Богородская швейная фабрика №8"""			Ниж.обл., г.Богородск, ул.Правда, д.10  тел.(83170)3-10-50	 3-18-65	  3-21-80  тел./факс (83170)3-43-80	Профессиональный союз	Нижегородская область	Исключена		
Общественные объединения	5212110577	Навашинская районная организация Нижегородской областной организации Профсоюза работников здравоохранения Российской Федерации	1025200004741		607000, Ниж.обл., г.Навашино, ул.Власть Советов,10	Нижегородская область, г.Навашино, ул.Терешкина, д.6	Профессиональный союз	Нижегородская область	Исключена			
Общественные объединения	5212011334	"Общественная организация ""Центр экономических и политических исследований Нижегородской области""    (Правопреемник №57)"	1025200008921		г.Н.Новгород, ул.Ульянова, д.46  тел.(8312) 36-66-69	  тел./факс (8312) 36-97-17	г.Н.Новгород, Окский съезд, д.2-а, к.55	Общественная организация	Нижегородская область	Исключена		
Общественные объединения	5212010449	"Общественная организация ""Нижегородский городской союз по защите прав потребителей"""	1075200004164		г.Н.Новгород, ул.Алексеевская, д.15  тел. 30-90-23	г.Н.Новгород, пл.Советская, д.3  тел.61-15-14	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010333	"Нижегородское общественное объединение ""Город"""	1075200006144		г.Н.Новгород, ул.Тропинина, 12-99	Н.Новгород, ул.Костина,2-158 р.т.30-28-81, р.т.35-22-49	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010247	Нижегородская областная организация Республиканской Партии РФ  /НОО РП РФ/			603138,Н.Н.,Автозаводский район,  ул.Политбойцов,  6-44	г.Н.Новгород,  В.Волжская наб.,17 т.31-34-50	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010890	"Нижегородская региональная общественная организация ""Академия графических наук"""	1075200003504		г.Н.Новгород, ул.Ильинская, д.65  тел.34-04-05	 34-02-01	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010651	"Нижегородская областная общественная организация ""Всероссийской федерации бадминтона"""			г.Н.Новгород, Кремль, д.4  тел.39-09-90	 39-14-02	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212011690	"Общественная организация ""Нижегородская областная федерация морских многоборий и гребно-парусного спорта"""			г.Н.Новгород, ул.3-я Ямская, д.15  тел. 30-40-62	 30-81-35	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010829	"Нижегородская региональная общественная организация ""Служба трудоустройства и миграции"""			г.Н.Новгород, д.35, кв.4  тел.35-05-87	 35-34-60  тел.36-95-61	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010048	"Нижегородский областной центр ""Движения демократических реформ""  Находится в процессе ликвидации"			г.Н.Новгород, ул.Медицинская, 13-5	г.Н.Новгород, ул.Б.Покровская, 15, комн.10	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010249	"Кулебакская районная организация ""Союз Чернобыль""  Нижегородской области"	1075200006342		Ниж.обл.,  г.Кулебаки ул.Воровского,  49-107 т.3-39-32	607010,Ниж.обл., г.Кулебаки, ул.Циолковского,24-50  т.5-00-57	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212011163	"Нижегородская областная общественная организация ""Планета людей"""	1075200010247		г.Н.Новгород, Советский район, Окский съезд, д.2, к.122  тел./факс (8312) 30-07-14	  тел.(8312) 34-04-88	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010861	"Нижегородская областная общественная организация ""Ассоциация педагогов - инноваторов"""			г.Н.Новгород, пр.Гагарина, д.23  тел.65-79-23	 62-85-92	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212011624	"Межрегиональная общественная организация ""Ассоциация ландшафтных архитекторов - инженеров"""	1025200020867		г.Н.Новгород, ул.Ильинская, д.65  тел.33-82-47	   тел./факс 33-73-66	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212011711	"Нижегородская областная общественная организация ""Врачи за свободу от наркотиков"""			г.Н.Новгород, ул.Ульянова, д.41  тел.19-24-74	19-24-86	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010791	"Нижегородская областная общественная организация ""Курдско-езидская община ""Гуман"""				г.Н.Новгород, ул.Федосеенко, д. 100, кв. 10	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212011483	"Общественная организация ""Союз предпринимателей малого бизнеса Павловского района Нижегородской области""  решение УФНС о предстоящем исключении от 13.07.2007"	1075200013184		Ниж.обл., г.Павлово, ул.Куйбышева, д.1  тел.6-17-89	 3-44-14	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010617	"Кулебакское районное отделение межрегиональной общественной организации ""Движение против насилия"" Нижегородской области"	1075200006276		Ниж.обл., г.Кулебаки, ул.Воровского, д.49, кв.404  тел.3-17-08	 3-34-98	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010830	"Детская общественная организация Володарского района Нижегородской области Малая академия наук ""Искатель"""	1075200009994		Ниж.обл., Володарский р-н, п.Новосмолинский, ул.Танковая, д.23, к. 211	Ниж.обл., Володарск.р-н, п.Ново-Смолино, гарнизонный дом офицеров, к.212  тел.37-28-88	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010269	"Первичная организация при АО ""Газ"" Автозаводского районного отделения Союза ветеранов Афганистана"	1025200021417	25.12.2002	г.Н.Новгород, пр.Молодежный, Автозаводский район,   г.Н.Новгорода, д.78	"603046,Н.Н., пр-т Ленина,94 ОУЦ ""ГАЗ"" т.56-28-33"	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010728	Приокская районная организация Нижегородской региональной организации Либерально-Демократической партии России			г.Н.Новгород, ул.Шапошникова, д.12	г.Н.Новгород, ул.Терешковой, д. 5а, кв. 20	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010741	"Нижегородская областная общественная организация ""Общество любителей здоровья"""				Нижегородская обл., г.Кстово, ул.Зеленая, д. 1а	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010732	"Общественная молодежная организация ""Шейпинг-клуб"" Академия"" г.Н.Новгорода"			г.Н.Новгород, ул. Зеленодольская, д. 109.	г.Н.Новгород, ул.Минина, 17	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010260	"Ассоциация многодетных семей ""Семь-Я"""	1075200003669		Ниж.обл.,  г.Лысково пер.Калушина,7 комн.5	Ниж.обл., г.Лысково, ул.Крылова,41 т.31-44	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212011554	"Межрегиональная общественная организация ""Вита сервис""  решение УФНС о предстоящем исключении № 102 от 10.09.2010"	1025200000583		г.Н.Новгород, ул.Вокзальная, д.22, лит.Д, пом.2  тел.77-68-47	г.Н.Новгород, ул.Вокзальная, 20/2	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212011470	Общественная организация молодежи г.Ворсма Павловского района Нижегородской области  Ликвидация			Ниж.обл., Павловский р-н, г.Ворсма, ул.Ленина, 86  тел.(83171) 7-46-04	 6-03-81	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212111366	Навашинская районная организация Нижегородской областной организации Профсоюза работников народного образования и науки Российской Федерации	1025200003179		607000, Нижегородская область, г. Навашино, ул. Ленина, д. 32	   Нижегородская область,  г. Навашино, ул. 1 Мая, д. 6	Профессиональный союз	Нижегородская область	Зарегистрирована			
Общественные объединения	5212010961	Нижегородское региональное отделение Партии российского единства и согласия			г.Н.Новгород, ул.Буревестника, д.13  тел.(8312) 24-18-38	 43-94-30	  тел./факс (8312) 24-54-58	Общественная организация	Нижегородская область	Исключена		
Общественные объединения	5212010870	Нижегородское региональное отделение Общероссийской общественной организации инвалидов внутренних войск МВД России			Нижегородская область, г. Нижний Новгород, пр-т Гагарина, 42-75	Нижегородская область, г. Нижний Новгород, пл. Маркина, д. 3	Общественная организация	Нижегородская область	Зарегистрирована			
Общественные объединения	5212011464	"Нижегородское региональное отделение Общероссийской общественной организации инвалидов ""Факел"""			г.Н.Новгород, ул.Гордеевская, 105  тел.43-19-29	 77-15-42	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010286	Верхне-Волжское отделение Академии технологических наук Российской Федерации   (Реорганизация)			г.Н.Новгород, пр.Гагарина, д.176  тел.66-70-44	  тел./факс 66-55-62	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010731	Нижегородская областная общественная организация онкологических больных-инвалидов				г.Н.Новгород, ул.Семашко, 22	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010655	"Кстовская районная общественная спортивная организация ""Сингитай"" Нижегородской области"	1025200000770		Ниж.обл., г.Кстово, ул.Зеленая, д.3  тел.2-14-48	 3-44-55	  3-44-56  тел./факс (83145) 3-44-52	Общественная организация	Нижегородская область	Исключена		
Общественные объединения	5212010304	Нижегородская теннисная Ассоциация  Находится в процессе ликвидации	1105200002423		Н.Н., пер.Балаклавс-кий, 1 (К)	"603010,Н.Новгород, пер.Балаклавский,2 центральный стадион ""Локомотив"""	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010966	"Нижегородская областная общественная организация по борьбе с опухолевыми заболеваниями молочных желез ""Нижегородская розовая лента"""	1075200011171		г.Н.Новгород, пл.Минина, 10/1  тел.39-09-43	 39-06-43	  тел./факс 39-09-43	Общественная организация	Нижегородская область	Исключена		
Общественные объединения	5212011781	"Нижегородская региональная общественная молодежная организация инвалидов ""Сфера"""	1075200003834		г.Н.Новгород, ул.Минина, д.31 А  тел.36-15-75	 36-20-49	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010770	"Сергачская районная общественная организация Нижегородской области ""Земское движение"""				Нижегородская обл., г.Сергач, ул.Свердлова, д. 87А	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212011526	"Общественная организация ""Федерация альпинизма Нижегородской области"""	1075200003614		г.Н.Новгород, пр.Ленина, д.63, корп.2, кв.64	603950, г. Н.Новгород, ул. Алексеевская, д.22 А	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010663	"Нижегородская областная общественная спортивная организация Клуб ""Автодор""  Исключена УФНС 09.03.2007"	1075200004660		г.Н.Новгород, ул.М.Горького, д.153	г.Н.Новгород, ул.Рождественская, д.18  тел.38-30-62	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010628	Сормовская районная организация Нижегородской городской организации Либерально-Демократической партии России	1075200000391		г.Н.Новгород, ул.Обрубная, д.48	г.Н.Новгород, ул. Волжская, 16-11	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212011277	"Сормовское районное отделение Нижегородского областного отделения Общероссийской общественной организации ""Российский Союз ветеранов Афганистана"""			г.Н.Новгород, ул.Заводской парк, д.2	г.Н.Новгород, ул.Энгельса, д.2  т/ф 23-00-25	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010669	"Нижегородская областная общественная благотворительная организация ""Меценат"""			г.Н.Новгород, ул.Рокоссовского, д.15, к.99  тел.31-52-15	 68-12-72	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010377	"Политический клуб ""Гражданин""  Находится в процессе ликвидации"			Ниж.обл., г.Городец, пл.Пролетарская, 24-47	 Ниж.обл., г.Заволжье, ул.Грунина,4-98 т.6-16-91	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212011241	"Общественная организация ""Общество потребителей города Нижнего Новгорода"""	1025200020317		г.Н.Новгород, ул.Пискунова, д.47  тел.32-71-15 (Просеков Валентин Андреевич	 Покровская Ольга Владимировна)	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010681	"Нижегородская областная общественная организация инвалидов ""Инид"""			г.Н.Новгород, ул.Борская, д.17  тел.53-56-48	 53-07-37  53-38-38	 53-57-36	Общественная организация	Нижегородская область	Исключена		
Общественные объединения	5212011430	"Межрегиональная общественная организация ""Общество Российско-Чеченской дружбы"""	1035204613036	05.01.2003	г.Н.Новгород, ул.Рождественская, д.24, под.2, к.15  тел.34-04-8	г.Н.Новгород, Окский съезд, д.2, комн.122  тел.34-04-88	 30-07-14	Общественная организация	Нижегородская область	Исключена		
Общественные объединения	5212010644	"Канавинская районная организация Нижегородского областного общества автомобилистов - регионального отделения общественной организации ""Всероссийское общество автомобилистов"""			г. Нижний Новгород, ул.Стрелка, д.10	  603600, г. Нижний Новгород, ул. Металлистов, д. 111, комн. 11	Общественная организация	Нижегородская область	Зарегистрирована			
Общественные объединения	5212020032	"Нижегородское областное отделение Общероссийского общественного движения ""Народно-патриотический союз России"""			"""г.Н.Новгород, ул.Б.Покровская, д.7, к.7  тел.39-19-65"	" 39-09-70"""	Общественное движение	Нижегородская область	Исключена			
Общественные объединения	5212011312	"Общественная организация ""Авиационный спортивно-технический клуб ""Нижегородский Аэронавт"" г.Нижнего Новгорода"	1045206348648		г.Н.Новгород, Окский съезд, д.2-а  тел. (8312) 66-67-60	 33-86-35  тел./факс (8312) 30-93-87	   65-41-42	Общественная организация	Нижегородская область	Исключена		
Общественные объединения	5212010788	"Нижегородская региональная общественная организация клуб горнолыжников ""Кант"""				Нижегородская обл., г.Дзержинск, НИИОГАЗ	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010671	"Нижегородское областное отделение Общественной организации ""Российская ассоциация медицинской лабораторной диагностики"""			г.Н.Новгород, ул.Решетниковская, д. 2	г.Н.Новгород, пр.Гагаринав, д. 50, корп.15	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010592	"Межрегиональная общественная организация ""Ассоциация студентов Академий государственной службы"" (Демократическая студенческая лига)"	1025200003366		г.Н.Новгород, пр.Гагарина, д. 46, комн. 228	Ниж.обл., г.Дзержинск, пр.Чкалова, д.1, кв.5  тел.(8313) 25-43-52	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212011068	"Нижегородская областная общественная молодежная организация ""Маленький принц"""	1025200022022		Нижегородская область, г. Дзержинск, ул. Клюквина, д. 5	Нижегородская область, г. Дзержинск, пр. Ленина, 41, 14	Общественная организация	Нижегородская область	Зарегистрирована			
Общественные объединения	5212010403	Союз женщин Павловского района Нижегородской области  решение УФНС о предстоящем исключении от 20.07.2007	1075200013217		Ниж.обл., г.Павлово, ул.Профсоюзная, д.13	606130, Ниж.обл., г.Павлово, ул.Куйбышева,6 8-(83171) 6-19-61 8-(83171) 6-25-27	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010771	"Воротынская районная общественная организация Нижегородской области ""Земское движение"""	1075200000743			Нижегородская обл., р.п.Воротынец, ул.Клубная, д. 1А	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010353	"Нижегородский спортивный клуб бодибилдинга ""Атлант"""	1075200002767		г.Н.Новгород, Московский р-н ул.ХХП Парт-съезда,4/1	603000,Н.Н., ул.50-летия Победы, 4/1	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010729	"Нижегородская городская общественная организация ""Федерация Каратэдо и боевых искусств"""				г.Н.Новгород, ул.Семашко, д. 41	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212011269	"Нижегородская областная общественная организация ветеранов хоккея ""Торпедо-Ветераны"""			г.Н.Новгород, Автозаводский район, ул.Переходникова, д.25	603004, Н.Новгород, ул.Лоскутова, Дв. Спорта им. В.С. Коноваленко	Общественная организация	Нижегородская область	Исключена			
Общественные объединения	5212010852	Отделение Российской общественной организации ветеранов государственной фельдъегерской службы в городе Нижнем Новгороде	1025200017270		г.Н.Новгород, Кремль, корп.3  тел.33-34-20	 33-00-29	Общественная организация	Нижегородская область	Исключена			
